ID,Tahun,Nama_Negara,Wilayah,Jenis_Tanaman,Total_Curah_Hujan_mm,Emisi_CO2_JT_Ton,Hasil_Panen_Ton_per_HA,Kejadian_Cuaca_Ekstrim,Akses_Irigasi,Penggunaan_Pestisida_KG_per_HA,Penggunaan_Pupuk_KG_per_HA,Indeks_Kesehatan_Tanah,Strategi_Adaptasi,Suhu_Rata_Rata_C
14,2017,Canada,Prairies,Wheat,376.89,14.83,2.853,8,94.37,29.93,2.78,52.06,Rotasi Tanaman,20.13
15,2016,France,Ile-de-France,Barley,836.04,24.72,0.774,0,56.2,11.43,20.18,68.1,Manajemen Air,4.38
16,2006,Russia,Volga,Coffee,328.74,2.91,3.474,5,47.33,27.07,37.02,74.12,Pertanian Organik,25.43
17,1999,Canada,Ontario,Cotton,959.52,20.43,3.357,4,37.63,45.84,64.65,64.75,Tanaman Tahan Kekeringan,29.29
18,2003,Brazil,Northeast,Soybeans,2783.83,3.57,3.97,8,76.69,17.61,89.67,62.62,Tanaman Tahan Kekeringan,26.5
19,2021,Australia,Victoria,Cotton,797.85,1.12,1.39,6,92.2,10.55,68.2,59.12,Tanaman Tahan Kekeringan,0.03
20,1993,India,West Bengal,Cotton,704.58,0.7,3.71,9,42.9,14.93,93.03,74.17,Rotasi Tanaman,31.75
21,2010,Argentina,Northwest,Cotton,2390.35,28.42,1.8,7,33.84,19.28,70.25,46.82,Tanaman Tahan Kekeringan,-3.99
22,2007,Australia,Western Australia,Soybeans,1415.98,17.38,1.62,4,75.37,14.73,40.04,96.47,Tanpa Adaptasi,18.45
23,2021,Canada,British Columbia,Vegetables,2491.26,24.94,2.079,10,79.43,34.25,51.91,76.17,Rotasi Tanaman,16.7
24,2021,India,Tamil Nadu,Barley,271.7,19.63,2.322,0,38.58,12.55,67.88,82.29,Manajemen Air,-0.81
25,2000,Nigeria,South East,Soybeans,1615.5030597110344,24.62,2.169,1,54.95,9.96,50.36,53.81,Manajemen Air,20.74
26,2019,Argentina,Northwest,Vegetables,897.58,19.42,2.106,10,47.05,40.04,46.63,90.49,Manajemen Air,10.3
27,2011,Australia,New South Wales,Wheat,2039.13,5.95,3.86,1,55.39457475380484,42.5,75.2,82.79,Manajemen Air,27.8
28,1997,Canada,British Columbia,Coffee,2792.21,1.39,2.81,4,69.32,14.64,35.72,73.14,Pertanian Organik,34.35
29,2005,Nigeria,South East,Sugarcane,1387.98,6.08,2.97,0,55.31,21.83,61.65,66.47,Pertanian Organik,32.69
30,2015,USA,Midwest,Barley,2661.73,4.18,3.8,1,64.9,18.16,59.63,67.46,Pertanian Organik,26.58
31,1995,India,Punjab,Soybeans,1283.71,24.56,1.2240000000000002,8,82.82,10.0,29.4,46.0,Pertanian Organik,20.86
32,2018,Russia,Northwestern,Barley,2073.63,17.94,1.566,0,56.67,10.71,36.95,34.74,Tanpa Adaptasi,22.05
33,2002,Argentina,Northwest,Wheat,266.75,16.87,2.3400000000000003,6,29.27,2.41,93.1,35.49,Tanaman Tahan Kekeringan,8.14
34,1997,China,Central,Rice,1162.16,1.83,1.88,8,55.39457475380484,15.08,52.22,82.1,Tanaman Tahan Kekeringan,33.74
35,1994,USA,South,Barley,1109.43,17.92,1.386,7,41.33,3.7,15.4,91.08,Manajemen Air,10.93
36,2019,Brazil,Northeast,Vegetables,605.32,14.05,3.49,8,81.41,13.13,90.1,68.22,Tanpa Adaptasi,16.05
37,2000,Russia,Siberian,Corn,1520.32,25.51,1.4580000000000002,1,28.12,32.65,22.26,89.07,Tanpa Adaptasi,3.12
38,2003,Argentina,Patagonia,Soybeans,2219.52,27.52,1.782,0,15.74,27.45,40.26,96.37,Rotasi Tanaman,30.63
39,2001,USA,West,Rice,2430.92,4.53,2.83,6,89.88,17.65,27.41,64.95,Pertanian Organik,20.44
40,2019,Nigeria,South East,Corn,459.91,12.59,2.3040000000000003,9,74.0,16.41,32.97,97.67,Tanaman Tahan Kekeringan,0.25
41,2018,Russia,Northwestern,Vegetables,2330.25,21.17,1.647,5,14.62,3.12,57.77,59.62,Rotasi Tanaman,0.23
42,1999,Argentina,Northwest,Rice,428.02,24.37,2.61,0,84.99,27.71,90.56,70.45,Tanaman Tahan Kekeringan,26.24
43,2003,Canada,Quebec,Vegetables,778.35,23.09,1.746,7,83.99,45.14,26.14,87.47,Manajemen Air,-0.15
44,2022,Canada,Ontario,Fruits,2093.27,11.29,2.88,3,55.19,14.16,54.89,34.4,Tanpa Adaptasi,-0.51
45,2006,India,Maharashtra,Corn,1615.5030597110344,28.07,1.35,6,53.62,41.2,6.83,94.82,Tanpa Adaptasi,-2.54
46,2001,Brazil,Northeast,Wheat,2624.77,27.0,3.087,6,65.87,0.0,37.42,54.0,Tanpa Adaptasi,34.13
47,2020,Canada,British Columbia,Barley,1952.58,4.54,0.78,4,40.6,39.54,16.27,63.13,Tanpa Adaptasi,-3.69
48,1991,India,West Bengal,Vegetables,2625.5,20.89,3.456,8,80.86,0.94,4.36,91.95,Tanpa Adaptasi,10.38
49,2022,India,Punjab,Barley,1687.82,24.08,4.401,4,35.8,9.09,44.95,88.66,Tanpa Adaptasi,13.35
50,2022,Canada,Quebec,Cotton,1199.89,12.11,1.16,6,61.92,43.99,45.64,53.72,Tanaman Tahan Kekeringan,9.22
51,2010,Argentina,Pampas,Rice,2413.2,8.16,3.19,6,82.61,41.93,45.94,43.5,Tanaman Tahan Kekeringan,27.18
52,1993,Canada,Ontario,Wheat,1284.71,3.84,2.55,2,14.72,35.01,58.23,88.0,Pertanian Organik,20.17
53,2014,Australia,New South Wales,Soybeans,1272.03,14.87,0.63,10,60.17,17.89,86.48,54.61,Tanaman Tahan Kekeringan,-0.61
54,1999,India,Punjab,Soybeans,2145.62,26.85,2.619,0,77.69,34.25,26.53,89.0,Tanpa Adaptasi,10.42
55,1999,India,Maharashtra,Barley,1782.71,28.13,1.89,3,65.82,17.28,98.62,71.67,Manajemen Air,8.64
56,1992,Brazil,Southeast,Rice,719.74,21.53,2.259,10,35.46,48.77,17.98,88.94,Tanpa Adaptasi,15.65
57,2015,Australia,Victoria,Cotton,2883.88,24.61,1.647,4,49.0,25.29,72.27,83.44,Rotasi Tanaman,-4.14
58,2014,China,Central,Corn,1616.7,27.32,3.78,4,76.44,45.53,36.41,39.14,Tanpa Adaptasi,12.76
59,1996,Brazil,North,Sugarcane,273.85,29.7,2.52,5,14.9,20.56,53.87,64.79,Pertanian Organik,12.54
60,2024,China,North,Corn,2913.57,29.82,1.737,8,11.05,33.06,23.25,54.02,Rotasi Tanaman,3.23
61,2002,Brazil,North,Vegetables,2093.59,1.35,1.37,4,54.05,32.8,8.62,31.26,Manajemen Air,-3.81
62,2017,USA,Northeast,Barley,853.59,6.12,3.51,5,82.0,26.21,64.44,71.29,Tanaman Tahan Kekeringan,11.54
63,2014,Brazil,Southeast,Fruits,1842.25,9.74,3.45,3,24.94,16.02,85.03,83.9,Rotasi Tanaman,18.02
64,1992,India,Maharashtra,Fruits,2061.4,11.85,3.8,4,95.95,37.0,7.74,85.49,Pertanian Organik,20.31
65,1996,Canada,Quebec,Barley,1886.96,28.84,2.232,1,13.13,41.04,15.89,51.13,Rotasi Tanaman,-1.84
66,2004,France,Ile-de-France,Rice,2109.89,1.74,2.59,9,76.2,0.08,78.88,89.02,Manajemen Air,-4.05
67,1993,Russia,Northwestern,Rice,1926.35,4.26,1.63,8,23.49,29.29,4.09,84.43,Pertanian Organik,19.13
68,1998,USA,South,Fruits,722.52,4.29,2.68,2,17.45,36.88,71.02,69.87,Manajemen Air,6.42
69,2014,Argentina,Patagonia,Sugarcane,667.03,13.79,2.63,5,89.25,41.74,64.15,64.01,Pertanian Organik,6.52
70,2004,Russia,Northwestern,Cotton,1825.52,3.86,2.64,5,78.02,21.65,91.83,87.89,Tanaman Tahan Kekeringan,3.26
71,2023,Canada,Ontario,Soybeans,583.69,26.17,3.384,3,42.27,10.85,94.19,46.34,Tanpa Adaptasi,34.4
72,1993,Russia,Siberian,Barley,2881.83,29.21,2.238219358974359,5,27.96,14.7,4.7,89.71,Rotasi Tanaman,13.45
73,2019,Nigeria,South East,Barley,1668.67,19.53,2.295,3,99.73,6.12,0.78,39.39,Manajemen Air,1.07
74,2000,China,South,Soybeans,1265.75,29.41,1.467,10,44.68,41.61,40.15,50.1,Manajemen Air,30.11
75,2019,USA,Northeast,Rice,745.44,2.91,4.37,7,22.05,27.22,59.66,56.47,Manajemen Air,13.31
76,2000,Australia,Victoria,Fruits,896.13,15.73,2.655,1,70.51,12.66,27.06,44.53,Tanaman Tahan Kekeringan,27.61
77,1994,Argentina,Northwest,Sugarcane,2122.84,13.61,1.35,8,79.04,3.39,17.95,75.25,Tanpa Adaptasi,-4.69
78,1998,USA,West,Coffee,362.14,12.4,3.015,4,40.62,42.43,22.03,46.28,Rotasi Tanaman,27.82
79,2011,Nigeria,North Central,Soybeans,1714.8,8.64,2.5,1,80.7,20.26,36.33,68.03,Tanpa Adaptasi,-3.3
80,2020,USA,Midwest,Vegetables,1595.53,9.34,2.26,9,69.6,13.36,11.84,30.33,Tanaman Tahan Kekeringan,3.27
81,2018,France,Grand Est,Cotton,2278.72,5.48,3.53,3,10.19,29.91,9.41,48.81,Tanaman Tahan Kekeringan,30.27
82,2020,China,North,Vegetables,1863.65,9.49,4.94,9,99.48,16.66,87.74,62.42,Pertanian Organik,17.9
83,2006,USA,West,Vegetables,688.65,9.65,3.91,3,13.51,14.31,99.0,74.17,Tanpa Adaptasi,13.6
84,2013,Nigeria,South West,Cotton,481.49,16.53,1.1880000000000002,7,81.49,1.26,2.76,33.39,Pertanian Organik,23.94
85,1993,France,Ile-de-France,Corn,1873.91,26.71,3.447,4,52.2,15.32,24.49,38.92,Manajemen Air,23.4
86,1991,France,Nouvelle-Aquitaine,Soybeans,1878.82,3.1,4.59,5,13.93,26.07,36.94,43.28,Manajemen Air,12.31
87,1990,India,Maharashtra,Fruits,1756.22,23.26,2.889,7,41.63,22.73,71.64,49.61,Manajemen Air,22.9
88,2003,China,Central,Sugarcane,1708.5,1.82,1.96,0,43.63,38.09,43.63,50.99,Tanaman Tahan Kekeringan,24.38
89,2016,India,Punjab,Wheat,2629.49,23.47,0.963,7,19.8,29.04,63.04,68.18,Rotasi Tanaman,9.27
90,1994,Australia,Victoria,Sugarcane,1618.89,6.18,2.7,9,59.02,37.03,66.22,49.86,Rotasi Tanaman,9.27
91,2012,India,Tamil Nadu,Coffee,2850.46,2.53,3.71,2,64.96,32.34,44.53,38.37,Pertanian Organik,18.91
92,2007,Australia,Queensland,Vegetables,2963.79,17.39,1.845,7,11.25,37.46,1.65,51.74,Manajemen Air,30.94
93,2001,Nigeria,North Central,Soybeans,315.35,8.55,1.971,3,26.19,31.43,89.6,49.29,Pertanian Organik,26.86
94,2013,Australia,New South Wales,Rice,2387.19,19.11,2.817,9,61.72,24.62,80.4,71.58,Tanaman Tahan Kekeringan,14.34
95,1991,France,Ile-de-France,Soybeans,1779.55,22.23,0.5670000000000001,2,82.0,8.68,51.88,92.05,Pertanian Organik,4.86
96,2020,Nigeria,South East,Rice,1892.69,8.43,3.56,8,73.05,32.4,0.37,35.52,Tanaman Tahan Kekeringan,23.64
97,1991,Brazil,North,Vegetables,1729.85,3.19,0.84,7,10.39,17.04,84.92,85.94,Tanaman Tahan Kekeringan,21.98
98,2013,Brazil,Southeast,Corn,2528.14,29.63,1.782,10,61.69,17.72,12.6,74.5,Rotasi Tanaman,2.61
99,1999,India,Punjab,Coffee,737.41,23.46,4.248,1,59.98,27.44,51.8,89.66,Tanpa Adaptasi,16.69
100,2012,France,Grand Est,Cotton,2844.44,18.29,1.035,6,24.39,18.02,10.45,78.05,Tanaman Tahan Kekeringan,23.2
101,2005,Brazil,Northeast,Barley,1130.04,5.41,0.98,4,71.24,20.36,52.54,70.51,Pertanian Organik,-4.1
102,1995,China,East,Soybeans,2916.61,20.34,1.863,4,78.07,46.34,92.0,33.03,Rotasi Tanaman,-2.6
103,2005,India,Maharashtra,Sugarcane,1752.08,13.27,1.0,7,38.72,31.01,68.66,81.81,Tanaman Tahan Kekeringan,25.45
104,2000,Russia,Volga,Cotton,924.24,1.09,2.73,9,98.92,49.4,31.22,55.96,Pertanian Organik,28.35
105,2008,USA,West,Rice,1534.56,8.11,2.51,7,45.6,36.06,57.03,57.54,Manajemen Air,18.49
106,2017,Russia,Central,Vegetables,808.38,22.65,2.826,10,76.01,21.95,12.41,35.1,Manajemen Air,25.85
107,2005,Russia,Central,Sugarcane,2106.72,19.58,1.314,0,36.9,42.24,32.05,88.4,Tanpa Adaptasi,8.0
108,2000,Canada,Quebec,Rice,2228.36,19.07,0.81,1,92.2,3.45,78.87,36.64,Manajemen Air,6.88
109,1999,Argentina,Patagonia,Wheat,871.92,4.24,0.9,4,33.15,13.54,73.38,40.24,Pertanian Organik,8.43
110,2006,Argentina,Northeast,Soybeans,2178.89,3.03,2.03,1,11.36,27.42,39.79,90.35,Manajemen Air,17.51
111,2003,Australia,Victoria,Corn,2336.64,17.34,0.63,9,96.51,34.25,27.22,43.36,Manajemen Air,9.33
112,2000,Russia,Northwestern,Barley,2731.26,18.53,2.052,7,98.44,36.11,3.09,50.4,Tanaman Tahan Kekeringan,-3.03
113,2010,India,West Bengal,Rice,747.44,24.34,0.99,4,84.13,41.47,27.52,67.47,Tanpa Adaptasi,-2.82
114,2007,Brazil,South,Cotton,1829.0,26.57,1.782,7,88.96,28.22,84.36,71.23,Tanpa Adaptasi,22.4
115,2010,Canada,Quebec,Wheat,2751.92,25.76,1.494,6,91.33,43.92,32.27,44.7,Tanaman Tahan Kekeringan,27.19
116,2003,Argentina,Pampas,Barley,581.46,14.06,3.9,2,46.96,48.02,94.28,89.79,Tanpa Adaptasi,15.3
117,2023,Russia,Volga,Soybeans,2073.11,7.65,1.82,2,85.97,8.73,3.42,99.98,Pertanian Organik,-2.8
118,2002,Nigeria,South West,Rice,260.18,27.77,3.546,8,86.04,36.85,64.5,61.7,Rotasi Tanaman,11.81
119,2005,Russia,Siberian,Sugarcane,623.08,18.35,1.809,7,55.89,2.58,46.55,91.45,Rotasi Tanaman,2.11
120,2013,Australia,Victoria,Vegetables,2952.96,27.14,1.503,10,88.97,38.7,10.68,83.99,Rotasi Tanaman,15.93
121,2000,France,Provence-Alpes-Cote d’Azur,Barley,2962.04,25.72,3.4290000000000003,9,35.27,27.71,38.27,51.78,Rotasi Tanaman,27.0
122,1995,USA,West,Barley,1036.18,12.99,2.49,10,55.39457475380484,38.87,53.59,43.74,Pertanian Organik,30.28
123,2021,China,East,Barley,664.91,16.64,1.683,5,48.5,16.12,28.86,75.35,Pertanian Organik,3.85
124,1996,China,Central,Coffee,886.71,25.23,3.411,3,92.12,9.35,78.48,69.74,Rotasi Tanaman,11.08
125,2020,France,Grand Est,Cotton,791.95,22.25,3.393,8,12.56,41.96,11.7,66.65,Pertanian Organik,25.98
126,2011,Australia,Victoria,Sugarcane,907.99,2.91,2.08,4,63.61,21.98,62.03,52.36,Rotasi Tanaman,8.97
127,1991,Argentina,Northeast,Fruits,1283.79,11.4,0.97,4,66.78,49.55,64.95,76.02,Pertanian Organik,29.95
128,1993,India,West Bengal,Fruits,2656.93,19.82,2.238219358974359,8,20.51,22.84,94.42,43.07,Tanpa Adaptasi,0.8
129,1994,USA,West,Coffee,2362.74,24.62,3.3120000000000003,4,11.69,3.32,60.78,79.46,Tanaman Tahan Kekeringan,32.09
130,1991,Argentina,Northwest,Corn,1214.06,1.16,1.98,7,30.33,18.01,56.01,70.77,Rotasi Tanaman,5.92
131,2004,Russia,Siberian,Coffee,2248.23,9.53,2.37,7,79.09,39.18,19.44,99.39,Tanaman Tahan Kekeringan,-3.61
132,2021,Argentina,Patagonia,Vegetables,1517.72,11.09,2.09,2,11.12,25.42,16.07,98.8,Rotasi Tanaman,23.35
133,2001,Russia,Siberian,Corn,961.32,19.2,3.384,7,65.22,35.04,20.6,69.11,Manajemen Air,13.75
134,1991,Nigeria,North Central,Fruits,621.05,19.62,1.0080000000000002,7,56.16,8.5,41.76,70.98,Tanpa Adaptasi,-4.04
135,2019,Canada,British Columbia,Soybeans,616.5,15.77,1.971,3,96.46,23.53,9.98,76.39,Tanpa Adaptasi,34.98
136,2008,Russia,Siberian,Sugarcane,303.38,5.75,2.547,6,59.96,43.24,88.93,69.43,Tanpa Adaptasi,9.04
137,1990,India,Maharashtra,Cotton,1431.33,15.11,1.359,7,51.81,43.65,2.97,53.76,Pertanian Organik,8.34
138,1997,USA,West,Corn,1651.77,16.58,1.2060000000000002,4,51.78,22.73,46.63,32.9,Rotasi Tanaman,0.14
139,2019,Russia,Siberian,Vegetables,1514.78,12.57,1.92,1,18.63,19.82,36.12,88.13,Tanpa Adaptasi,15.17
140,2016,USA,Northeast,Wheat,542.18,28.83,3.933,1,38.02,18.07,27.95,96.73,Tanpa Adaptasi,12.56
141,2002,Nigeria,North Central,Wheat,1197.18,2.03,2.1,8,52.43,19.01,24.21,81.27,Manajemen Air,5.0
142,1996,Canada,Ontario,Rice,1260.93,2.34,4.95,4,19.43,26.57,57.28,97.31,Manajemen Air,18.58
143,2002,France,Grand Est,Soybeans,2922.22,28.64,1.917,7,67.84,25.77,27.61,62.49,Manajemen Air,23.52
144,2020,Argentina,Northeast,Corn,2424.6,2.46,1.15,3,46.55,38.37,84.44,34.8,Pertanian Organik,20.0
145,2006,Argentina,Patagonia,Corn,1099.55,17.48,1.575,0,52.61,18.89,63.33,38.28,Tanpa Adaptasi,23.88
146,1993,Nigeria,South West,Soybeans,1004.29,1.62,0.91,7,73.85,39.65,26.3,52.73,Tanpa Adaptasi,34.81
147,2007,Brazil,North,Rice,1573.94,17.5,2.25,8,23.22,0.28,25.02,74.24,Rotasi Tanaman,10.38
148,2013,Australia,Victoria,Cotton,1803.57,20.95,2.205,0,47.52,15.3,70.81,59.65,Manajemen Air,19.05
149,2012,Canada,Ontario,Vegetables,1908.94,22.36,0.927,8,96.89,28.72,47.96,73.25,Tanaman Tahan Kekeringan,-4.06
150,2007,Canada,British Columbia,Soybeans,809.31,13.03,0.97,5,75.89,18.27,86.79,92.72,Tanaman Tahan Kekeringan,4.22
151,2007,Brazil,South,Fruits,1221.9,15.94,0.657,0,84.63,20.73,71.95,47.98,Pertanian Organik,8.81
152,1995,China,East,Corn,2615.78,3.45,2.33,0,57.24,9.76,15.66,84.34,Manajemen Air,-1.72
153,1996,China,South,Soybeans,2485.73,25.72,2.637,3,32.73,43.0,98.31,56.34,Manajemen Air,14.64
154,2015,Argentina,Northeast,Sugarcane,659.44,13.83,2.74,0,33.14,0.3,11.24,38.59,Manajemen Air,15.1
155,2022,Russia,Siberian,Sugarcane,2897.17,24.17,2.421,3,13.16,10.58,39.91,96.61,Rotasi Tanaman,8.51
156,2005,Australia,New South Wales,Fruits,1770.03,21.42,2.238219358974359,10,84.08,47.18,46.73,64.41,Rotasi Tanaman,5.8
157,2022,China,South,Fruits,2369.78,22.02,1.926,4,64.46,13.11,24.9,48.92,Tanpa Adaptasi,12.34
158,2006,India,Punjab,Sugarcane,2936.51,0.71,1.55,4,29.09,41.69,75.08,62.85,Tanaman Tahan Kekeringan,30.04
159,1994,USA,South,Fruits,1101.16,11.9,2.1,4,85.23,32.76,47.13,58.12,Tanpa Adaptasi,-1.36
160,1996,Argentina,Northeast,Coffee,2227.57,25.39,0.783,10,12.74,34.36,30.16,83.84,Tanpa Adaptasi,-3.53
161,2022,Canada,Prairies,Soybeans,2560.59,27.06,0.99,10,32.65,4.23,70.86,57.61,Tanpa Adaptasi,20.21
162,2023,Russia,Central,Corn,1107.2,9.95,2.35,7,47.98,32.73,54.89,34.47,Manajemen Air,-2.94
163,2004,Nigeria,North West,Rice,2453.05,15.66,2.736,3,43.25,31.9,77.59,60.78,Manajemen Air,20.89
164,2010,Canada,Ontario,Rice,1702.14,25.81,0.6120000000000001,3,67.62,25.05,80.06,73.75,Tanpa Adaptasi,9.64
165,1997,India,Tamil Nadu,Cotton,1352.67,2.07,1.04,1,84.05,3.77,77.11,86.75,Pertanian Organik,33.68
166,2024,France,Ile-de-France,Rice,587.95,19.38,0.801,8,27.8,6.4,80.49,64.81,Tanaman Tahan Kekeringan,27.48
167,2014,China,Central,Rice,1823.08,14.83,1.86,5,52.61,39.83,46.02,30.77,Manajemen Air,28.15
168,2012,China,East,Rice,1679.73,24.71,1.431,1,16.55,49.14,87.13,78.76,Pertanian Organik,-3.45
169,2024,Canada,Prairies,Fruits,1565.27,4.52,2.35,9,48.36,4.82,68.55,55.67,Tanaman Tahan Kekeringan,27.33
170,1990,Argentina,Northeast,Rice,790.69,27.16,1.899,6,59.14,37.87,9.89,67.62,Pertanian Organik,26.7
171,2021,Argentina,Northwest,Coffee,741.13,19.88,1.944,1,27.18,3.67,83.69,39.35,Tanpa Adaptasi,-0.67
172,2020,Australia,Victoria,Vegetables,2313.43,21.11,0.81,8,80.27,45.49,39.55,65.35,Tanaman Tahan Kekeringan,7.5
173,2003,China,North,Cotton,581.43,16.76,3.546,6,95.58,2.43,80.88,49.78,Tanpa Adaptasi,19.29
174,2020,Australia,New South Wales,Rice,2823.76,8.24,1.92,9,48.61,39.25,4.75,95.39,Tanpa Adaptasi,3.33
175,2010,Nigeria,South East,Vegetables,2160.14,11.6,3.11,8,15.71,45.8,32.98,73.07,Pertanian Organik,27.05
176,1999,USA,West,Cotton,2604.8,6.73,1.11,1,39.02,17.4,39.93,47.26,Rotasi Tanaman,27.66
177,1997,China,East,Coffee,1563.55,22.11,4.32,9,72.62,18.02,95.99,53.67,Tanaman Tahan Kekeringan,15.41
178,2024,USA,Northeast,Wheat,292.22,7.87,2.106,9,82.15,7.17,33.16,58.5,Tanaman Tahan Kekeringan,6.61
179,2010,Brazil,North,Vegetables,1662.53,13.85,2.22,10,77.04,15.94,92.54,85.24,Manajemen Air,0.08
180,2006,China,East,Coffee,2063.44,4.75,3.18,6,49.97,36.97,9.61,66.96,Manajemen Air,19.34
181,2020,India,West Bengal,Sugarcane,320.16,9.64,4.464,0,65.98,6.83,17.44,62.7,Tanpa Adaptasi,15.76
182,2002,France,Ile-de-France,Coffee,1561.03,11.41,1.29,4,79.48,26.7,35.08,65.33,Tanpa Adaptasi,-2.3
183,2001,Nigeria,South East,Barley,1308.97,17.92,3.663,7,41.79,7.26,20.51,72.11,Manajemen Air,11.83
184,2000,China,South,Vegetables,1904.21,18.57,2.439,7,78.08,24.24,52.23,55.5,Rotasi Tanaman,14.52
185,2005,Russia,Volga,Vegetables,717.04,15.03,1.872,6,13.51,19.49,1.27,89.32,Manajemen Air,30.1
186,2019,India,West Bengal,Soybeans,2497.49,8.29,2.11,9,15.8,5.33,55.46,33.95,Pertanian Organik,29.67
187,2009,China,South,Vegetables,1371.85,15.08,2.799,2,60.21,38.92,72.19,60.91,Manajemen Air,26.8
188,2019,Russia,Siberian,Wheat,2021.45,26.9,1.872,2,52.7,1.91,84.27,79.34,Pertanian Organik,15.29
189,2010,Australia,Western Australia,Rice,322.88,13.55,1.233,10,94.8,46.94,0.32,63.05,Tanpa Adaptasi,24.33
190,2019,Russia,Siberian,Barley,852.26,3.41,1.41,7,50.6,44.48,78.05,53.99,Tanpa Adaptasi,29.58
191,2006,Nigeria,North Central,Corn,1706.26,19.84,1.251,6,55.39457475380484,26.07,17.8,86.77,Rotasi Tanaman,7.84
192,1999,Australia,New South Wales,Fruits,2135.53,15.23,2.574,1,94.32,45.63,10.72,60.58,Tanpa Adaptasi,18.69
193,2023,India,Tamil Nadu,Corn,2174.88,21.05,3.618,1,73.44,31.02,20.04,92.14,Rotasi Tanaman,18.08
194,2019,Argentina,Pampas,Sugarcane,1257.26,2.25,4.16,1,24.43,22.61,65.74,53.07,Rotasi Tanaman,16.17
195,2008,India,Maharashtra,Corn,1236.69,17.43,3.843,1,14.03,11.82,31.17,76.24,Tanpa Adaptasi,13.93
196,2015,Australia,Western Australia,Corn,2623.61,13.09,0.58,3,43.89,34.51,56.94,56.16,Pertanian Organik,-0.37
197,2008,USA,South,Rice,1305.31,9.2,1.12,9,20.28,7.73,2.4,37.72,Tanpa Adaptasi,24.55
198,2024,Argentina,Northwest,Fruits,599.6,2.78,3.69,6,30.74,16.46,60.38,41.75,Rotasi Tanaman,12.29
199,2016,Brazil,South,Sugarcane,1722.96,2.61,3.89,7,55.39457475380484,12.8,19.66,36.86,Manajemen Air,28.79
200,2013,Brazil,North,Barley,1165.27,20.42,3.807,9,97.58,5.95,65.35,43.92,Manajemen Air,16.25
201,2012,China,East,Barley,698.09,14.91,1.82,7,71.23,41.28,37.03,71.53,Tanaman Tahan Kekeringan,33.35
202,1992,Russia,Siberian,Coffee,2790.5,14.73,0.79,4,93.55,39.88,10.9,50.46,Tanpa Adaptasi,-3.76
203,1993,Argentina,Patagonia,Vegetables,2370.48,28.48,4.473,4,37.47,38.05,93.01,94.93,Manajemen Air,11.71
204,2001,Brazil,Southeast,Rice,514.15,21.96,0.639,4,15.95,25.39,42.58,85.01,Tanaman Tahan Kekeringan,2.64
205,1992,India,Punjab,Vegetables,1462.31,10.85,2.47,1,69.72,44.79,7.79,84.99,Tanaman Tahan Kekeringan,14.72
206,2024,Russia,Volga,Fruits,961.12,0.86,1.32,10,75.73,28.71,88.18,49.95,Tanaman Tahan Kekeringan,9.59
207,2024,USA,Midwest,Rice,922.9,8.56,0.85,10,69.95,3.81,28.12,92.24,Tanaman Tahan Kekeringan,8.22
208,1994,Australia,Queensland,Rice,2953.61,11.26,2.32,8,28.57,34.81,21.81,92.57,Manajemen Air,3.67
